%WER = 25.35
Errors: 101 insertions, 717 deletions, 781 substitutions, over 6307 reference words (4809 correct)
Search below for sections starting with PER-UTT DETAILS:, SUBSTITUTIONS:, DELETIONS:, INSERTIONS:, PER-WORD STATS:

PER-UTT DETAILS: corr or (ref->hyp)  
1682990149.6027413-split_v1-483200-674250_11617-11617:	(rồi vầng->dạ)
1682994647.6029060-split_v1-0-325450_10225-10225:	(khoảng nửa->gửi) tiếng nữa thôi
1683077333.6050218-split_v1-486400-758090_2036-2036:	(vâng->vầng) thế thì bọn em
1683078157.6051098_27035-27035:	(vầng->*) ok
1683107664.6096164-split_v1-0-780810_652-652:	(có việc->*) gì (ạ->à) mình (mình ở bưu điện->ấn địa) mà mình có cái thẻ (vietcombank->việtco mank) ý mình có lấy cái thẻ (đấy->để) không để mai phát lại (*->vợ) cho mình nhờ
1683169992.6122161_25549-25549:	không chín tám tư rồi ạ không (năm->lăm) chín một năm sáu
1683171680.6128721_20061-20061:	a lô (a lô->*) em chào (*->chị) anh (em->*) bên bưu điện hà nội thẻ bảo hiểm y tế của nguyễn thế (trình của mình->chỉnh) đã đóng tiếp và được cập nhật lên chương trình rồi em báo để mình yên tâm (sử dụng->chị) nhá dạ
1683173493.6134195_23023-23023:	(thì->dịch) gửi (gửi->*) số cho mình nhá em đọc luôn cho anh được không ạ tại vì em đang dùng (tổng->*) đài nên là không không nhắn tin được rồi thế thì (sao->xong) bên mình lại bưu tá (lại bây giờ lại phải->*) gọi cho bưu tá thì (mới->bên) giao hàng hay như nào không cái hàng này của anh là chắc là nó về mấy hôm nghỉ lễ nên là anh ấy chưa phát được
1683182865.6143774-split_v1-0-499210_5192-5192:	chị có phải là chị hoa không
1683187566.6157623_28901-28901:	(xin năm số điện thoại cuối số->mười lăm phường biên hòa bốn) khách ạ
1683188288.6159663-split_v1-0-480010_17076-17076:	sáng mai chị nhận hàng được không
1683190314.6167054_28317-28317:	(alo->a lô) ạ
1683195012.6179071-split_v1-0-363210_11973-11973:	(nó->*) là cái gì đấy em nhở (kem cám gạo->các em khám lại)
1683250416.6190016_23735-23735:	em nghe chị ơi
1683251557.6191681-split_v1-502400-1687370_4916-4916:	(trong->*) đấy (ngoài giờ->ừ) ngoài giờ đó ra thì ở nhà hoặc là tùy theo đi ngoài ra ngoài đúng không chị
1683275386.6244513_23029-23029:	cái thẻ (ao->*) của bạn tuấn anh em có cầm không (không->có) em trả lại văn phòng (rồi->*)
1683275513.6245053_22025-22025:	chị ơi có cái đơn hàng của nguyễn đức (vầng làm sao ạ->*) khách (xin hủy->vầng dạ) đơn không không lấy
1683276800.6250037_24533-24533:	(dạ->*) a lô a lô (ừ->*)
1683277231.6251437-split_v1-579200-835210_13836-13836:	a lô (vang->vâng) em chào (chị vâng vâng->*)
1683285267.6268833_27094-27094:	quần của (shop->shock) nào nhỉ
1683335915.6275021-split_v1-480000-988810_1863-1863:	chiều nay chiều nay anh có ở nhà không ạ
1683341017.6285516_22341-22341:	(không->có) phải ở (phú lương đâu->khu luôn) chị ơi (ở->*) ngõ hai trăm mười bốn (nguyễn xiển->biển)
1683345276.6299236_18051-18051:	(chờ tôi một->trơn doi) phút để (để để->thôi) tôi tôi (tôi tôi tôi->bật) bật máy tôi (mới->minh) nhớ được số nhá (rồi->*) tôi gọi lại luôn cho nhá
1683359678.6318635-split_v1-0-293450_14381-14381:	dạ vâng em (cám->cảm) ơn bưu điện (hà->*) nội xin chào
1683361230.6323357-split_v1-0-467530_7283-7283:	a lô (a lô vâng->*) em chào chị em bưu điện hà nội của chị (sen->xem) ở thái hòa ba (vì ý->v r ghi) có phải là của nhà mình (đấy->đâu) đúng không ạ
1683362140.6325929-split_v1-0-556810_1028-1028:	không ba sáu bảy
1683362699.6328247-split_v1-595200-1388810_9036-9036:	đúng rồi (nó->đúng) nhận (*->nhận) được hàng mà em chuyển tiền rồi cái này chị chuyển khoản à em chuyển khoản (ạ chị xem->à sao) hộ em xem (chuyển khoản->hoàn) cho (ai->hai cái) tên (là->*) gì (với->ý)
1683422972.6356470-split_v1-0-636810_13040-13040:	em (thay->thấy) đổi từ em thay đổi từ lúc em đặt hàng rồi mà
1683518674.6430095_25517-25517:	(a lô->mẫu) a lô em chào anh em bên bưu điện hà nội thẻ bảo hiểm y tế của mình (với của->*) nguyễn thị khanh ý
1683521040.6438051-split_v1-0-540810_1990-1990:	(vợ->*) anh làm đấy thì (vợ anh nhận->bảo gọi điện) cho anh
1683521794.6439798-split_v1-0-528010_3806-3806:	a lô
1683522087.6440294_27526-27526:	(alo alo->a lô) chị ơi làm phiền em bên bưu điện (ý->cho) mình có cái đơn hàng
1683522712.6441384_24416-24416:	nhá (ừ->rồi) cảm ơn (em chào chị->*)
1683530398.6450511_23293-23293:	ba năm một chín ạ (*->ok) đợi (em->*) một chút nhá để em gọi lại cho khách nhá (đơn này->ô kê ừ đơn) bao tiền đấy anh nhở chị nhở một trăm chín chín nghìn (ba->*) năm một chín (á sao em không->năm hai) thấy nhở (mình->bình) cho em xin lại cái mã (vận->*) đơn được không
1683530718.6451430-split_v1-0-483210_12897-12897:	(ờ->*) chị bảo bạn ấy là chuyển sang bên này (chị trả thêm->giả)
1683533281.6460074_18891-18891:	chị ơi em gọi từ bưu điện có một cái đơn hàng này khách hàng từ chối nhận
1683533776.6462180-split_v1-508800-954570_14561-14561:	anh có đi qua bưu điện xuân mai không ạ
1683534541.6465865_26917-26917:	(*->sao) có (những->nhớ) cái (đơn->thôi tớ) đấy trên hệ thống không không (không->*) ấy ạ
1683600915.6514962_19997-19997:	a lô
1683603189.6523095-split_v1-0-518410_3657-3657:	(à->*) thế à (mình->*) không (đặt->được) gì à
1683614506.6541862-split_v1-550400-714570_2344-2344:	(võ->gọi) anh vũ ạ
1683685774.6598155_22212-22212:	(nhá->rồi) dạ (dạ dạ láo toét->dạo khách) dạ (dạ->vầng) dạ (vâng mày gỉa nó cho tao tao đã->vầng nói chỗ nào ta) bảo (là->*) không (lấy nữa->ấy) rồi (cơ->*) mà
1683688615.6609107-split_v1-2198400-2635850_5497-5497:	thế nhá có gì mai (em->*) đi làm (xong->hộ) em em (em->*) xem (xong em nhắn chị->sao)
1683688901.6610557_27505-27505:	chị ơi cái đơn của chị đỗ thị hà (ấy->ý) thì chị yêu cầu lưu bao nhiêu ngày (ạ->*)
1683689652.6614037_28065-28065:	(ok->nghe) chị nhá để em kiểm tra xem (nơi này->*) có (thuộc->tụ) địa bàn (bọn->của) em (thì bọn em->rồi anh) phát cho (cảm ơn chị->vâng)
1683691542.6621535_27206-27206:	gì (nhể->à)
1683703770.6641129_22622-22622:	dạ chưa chị ơi chưa ấy (gì->chị)
1683704732.6643875-split_v1-1622400-2185610_11065-11065:	vầng ở địa chỉ là bao nhiêu một bảy (lăm->năm) đội (cấn->gần) hả chị các bạn (ý->*)
1683704865.6644520-split_v1-0-566410_12876-12876:	(hôm->*) nọ (có một->*) hôm nọ có bạn đến giao mình không nhận ý ạ
1683773184.6693278-split_v1-588800-1068810_6561-6561:	nhưng mà nếu mà như (các->cách) trường hợp có thẻ mà chị tự đóng được không
1683773932.6695366-split_v1-0-531210_1940-1940:	khách hàng người gửi (tên->đơn) gì vậy chị
1683777432.6706201_19564-19564:	sáng nay gọi lại cũng không (thưa->thương) máy
1683789456.6722781-split_v1-1081600-1600010_4697-4697:	không bảy chín
1683790158.6724433_26685-26685:	ba ba (ba ba ba ba->*) rồi ạ một không hai
